Title,Date,Category,Link
"Dr. Van Stephen Monroe, Jr. Agreed to Pay $65,000 for Allegedly Violating Patient Dumping Statute by Failing to Accept an Appropriate Transfer",2024-10-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/court-awards-state-42594054-against-komfort-kare-llc-assisted-living-program-for-housing-medicaid-recipients-in-unlicensed-facilities/
North Carolina Woman Sentenced For Making False Statements,2024-10-15,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-criminal-charges-against-southern-california-dentist-for-medi-cal-fraud/
Houston Man Guilty In $160M Medicare Fraud Scheme,2024-10-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
Virginia Contractor Settles False Claims Act Liability For Failing To Secure Medicare Beneficiary Data,2024-10-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/about/
Precision Toxicology Agrees To Pay $27 Million To Resolve Allegations Of Unnecessary Drug Testing And Illegal Kickbacks To Physician,2024-10-15,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Former Chief Executive Officer Of Chicago Hospital Added To Federal Indictment Alleging Corruption And Embezzlement,2024-10-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/houston-man-guilty-in-160m-medicare-fraud-scheme/
San Diego Physician And Medical Practice Pay $3.8 Million To Resolve False Claims Act Allegations,2024-10-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/virginia-contractor-settles-false-claims-act-liability-for-failing-to-secure-medicare-beneficiary-data/
Urine Drug Testing Laboratory And Owner Agree To Resolve False Claims Act Allegations,2024-10-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/precision-toxicology-agrees-to-pay-27-million-to-resolve-allegations-of-unnecessary-drug-testing-and-illegal-kickbacks-to-physician/
Silver Spring Woman Sentenced for Defrauding Maryland Medicaid of over $1 Million,2024-10-11,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-chief-executive-officer-of-chicago-hospital-added-to-federal-indictment-alleging-corruption-and-embezzlement/
"Housing Works Agreed to Pay $135,000 for Allegedly Violating the Civil Monetary Penalties Law by Providing Documents To HHS-OIG Auditors That One Of Its Employees Had Fabricated",2024-10-10,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/san-diego-physician-and-medical-practice-pay-38-million-to-resolve-false-claims-act-allegations/
Magellan Diagnostics Sentenced For Concealing Malfunction In Lead Testing Devices,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/urine-drug-testing-laboratory-and-owner-agree-to-resolve-false-claims-act-allegations/
Teva Pharmaceuticals Agrees To Pay $425 Million To Resolve Kickback Allegations,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/silver-spring-woman-sentenced-for-defrauding-maryland-medicaid-of-over-1-million/
Generic Pharmaceutical Company Pays $25 Million To Resolve False Claims Act Liability For Price-Fixing Of Generic Drugs,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/housing-works-agreed-to-pay-135000-for-allegedly-violating-the-civil-monetary-penalties-law-by-providing-documents-to-hhs-oig-auditors-that-one-of-its-employees-had-fabricated/
Drug Maker Teva Pharmaceuticals Agrees To Pay $450M In False Claims Act Settlement To Resolve Kickback Allegations Relating To Copayments And Price Fixing,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/magellan-diagnostics-sentenced-for-concealing-malfunction-in-lead-testing-devices/
"In Latest Welfare Fraud Win, Attorney General Todd Rokita Secures Six-Figure Settlement & Criminal Conviction Against Highland Home Health Provider",2024-10-10,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/teva-pharmaceuticals-agrees-to-pay-425-million-to-resolve-kickback-allegations/
TennCare Fraud Investigation Leads To Arrests Of Two Memphis Woman,2024-10-10,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/generic-pharmaceutical-company-pays-25-million-to-resolve-false-claims-act-liability-for-price-fixing-of-generic-drugs/
"Ultra Radio Dispatch Service Agreed to Pay $61,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Improper Remuneration",2024-10-09,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/drug-maker-teva-pharmaceuticals-agrees-to-pay-450m-in-false-claims-act-settlement-to-resolve-kickback-allegations-relating-to-copayments-and-price-fixing/
Two Los Angeles-Area Residents Arrested On Indictment Alleging Scheme To Fraudulently Obtain And Launder Medicare Proceeds,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/in-latest-welfare-fraud-win-attorney-general-todd-rokita-secures-six-figure-settlement-criminal-conviction-against-highland-home-health-provider/
Disabilities Day Program Employee Sentenced To 230 Days In Jail For Exploiting Vulnerable Adults And Shoplifting,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tenncare-fraud-investigation-leads-to-arrests-of-two-memphis-woman/
Eight Charged In $68M Social Adult Day Care And Home Health Care Scheme,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ultra-radio-dispatch-service-agreed-to-pay-61000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-improper-remuneration/
"North Carolina Physician And Medical Practice Agree To Pay $625,000 To Settle Kickback Allegations",2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-los-angeles-area-residents-arrested-on-indictment-alleging-scheme-to-fraudulently-obtain-and-launder-medicare-proceeds/
"Attorney General Josh Stein Announces $625,000 Health Care Fraud Settlement",2024-10-09,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/disabilities-day-program-employee-sentenced-to-230-days-in-jail-for-exploiting-vulnerable-adults-and-shoplifting/
Attorney General Jackley Announces Wyoming Woman Sentenced On Grand Theft By Exploitation Charge,2024-10-09,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/
"BrightStar Care of Chattanooga Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-10-08,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/about/
North Carolina Physician Assistant Sentenced To Six Years In Prison For Role In $10 Million Telemedicine Fraud Scheme,2024-10-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Operator Of South Carolina Medicaid Call Center Agrees To Pay $11.3 Million To Resolve False Claims Act Liability; Two Former Employees Plead Guilty To Wire Fraud,2024-10-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-jackley-announces-wyoming-woman-sentenced-on-grand-theft-by-exploitation-charge/
Merrillville Doctor Sentenced To Prison And Ordered To Pay Restitution,2024-10-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brightstar-care-of-chattanooga-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Ten Pharmaceutical Distributor Executives, Sales Representatives, And Brokers Charged In Connection With Unlawful Sales Of Nearly 70M Opioid Pills",2024-10-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-carolina-physician-assistant-sentenced-to-six-years-in-prison-for-role-in-10-million-telemedicine-fraud-scheme/
Wichita Brothers Plead Guilty To Defrauding The Government,2024-10-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/operator-of-south-carolina-medicaid-call-center-agrees-to-pay-113-million-to-resolve-false-claims-act-liability-two-former-employees-plead-guilty-to-wire-fraud/
Martin Handler Sentenced To 58 Months For Fraud On Federal Head Start Program And Tax Evasion,2024-10-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/merrillville-doctor-sentenced-to-prison-and-ordered-to-pay-restitution/
Precision Toxicology Agrees to Pay $27M to Resolve Allegations of Unnecessary Drug Testing and Illegal Remuneration to Physicians,2024-10-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ten-pharmaceutical-distributor-executives-sales-representatives-and-brokers-charged-in-connection-with-unlawful-sales-of-nearly-70m-opioid-pills/
Texas Hospital CEO to Pay Over $5.3M to Settle Kickback Allegations Involving Laboratory Testing,2024-10-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wichita-brothers-plead-guilty-to-defrauding-the-government/
"AG Moody’s Medicaid Fraud Control Unit Secures More Than $700,000 Through Multistate Action from Toxicology Laboratory",2024-10-02,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/martin-handler-sentenced-to-58-months-for-fraud-on-federal-head-start-program-and-tax-evasion/
Chicago Lab Owner Pleads Guilty to $14 Million COVID-19 Fraud Scheme,2024-10-01,COVID-19,https://oig.hhs.gov/fraud/enforcement/precision-toxicology-agrees-to-pay-27m-to-resolve-allegations-of-unnecessary-drug-testing-and-illegal-remuneration-to-physicians/
Brookline Hospital to Pay Up To $6.5 Million to Resolve False Claims Act Liability Concerning Kickback Allegations,2024-10-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-hospital-ceo-to-pay-over-53m-to-settle-kickback-allegations-involving-laboratory-testing/
"Lehigh Valley-Area Doctor Agrees to Pay $45,000 to Resolve False Claims Act Liability",2024-10-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ag-moodys-medicaid-fraud-control-unit-secures-more-than-700000-through-multistate-action-from-toxicology-laboratory/
"Patient First New Jersey Physicians Group Agreed to Pay $25,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-09-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chicago-lab-owner-pleads-guilty-to-14-million-covid-19-fraud-scheme/
Lab Owner Pleads Guilty to $14M COVID-19 Fraud Scheme,2024-09-30,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/brookline-hospital-to-pay-up-to-65-million-to-resolve-false-claims-act-liability-concerning-kickback-allegations/
Brooklyn-Based Home Health Care Agencies Settle Fraud Claims for $9.75 Million and Agree to Pay $7.5 Million in Wages and Benefits to Underpaid Aides,2024-09-30,COVID-19,https://oig.hhs.gov/fraud/enforcement/lehigh-valley-area-doctor-agrees-to-pay-45000-to-resolve-false-claims-act-liability/
Founder and Chief Executive Officer of Injectable Stem Cell Product Manufacturer Sentenced for Distributing Unapproved Drug,2024-09-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/patient-first-new-jersey-physicians-group-agreed-to-pay-25000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Joint Regeneration of North Atlanta Agreed to Pay $66,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Orthoses that Did Not Meet Medicare Requirements",2024-09-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lab-owner-pleads-guilty-to-14m-covid-19-fraud-scheme/
Attorney General James And U.S. Attorney Peace Secure Over $17 Million From Home Health Agencies For Cheating Workers And Defrauding Medicaid In Landmark Wage Parity Agreement,2024-09-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brooklyn-based-home-health-care-agencies-settle-fraud-claims-for-975-million-and-agree-to-pay-75-million-in-wages-and-benefits-to-underpaid-aides/
The Pathway Home Abuse Investigation – Victims Being Sought,2024-09-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
Owner of Oahu Physical Therapy Clinics Pleads Guilty to Health Care Fraud,2024-09-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/about/
"Hospital, Laboratory, Referring Physician, and Lab Employees Pay More than $7.2 Million To Resolve Civil Allegations of Fraudulent Laboratory Testing",2024-09-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
"Physician and Office Manager Pay $450,000 to Resolve Alleged Violations of the Controlled Substance Act and the False Claims Act",2024-09-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/the-pathway-home-abuse-investigation-victims-being-sought/
Behavioral Healthcare Company Executive Pleads Guilty to Healthcare Fraud,2024-09-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-oahu-physical-therapy-clinics-pleads-guilty-to-health-care-fraud/
Acadia Healthcare Company Inc. to Pay $19.85M to Settle Allegations Relating to Medically Unnecessary Inpatient Behavioral Health Services,2024-09-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hospital-laboratory-referring-physician-and-lab-employees-pay-more-than-72-million-to-resolve-civil-allegations-of-fraudulent-laboratory-testing/
Attorney General Griffin Announces Arrest Of Little Rock Woman On Felony Medicaid Fraud Charge,2024-09-26,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/physician-and-office-manager-pay-450000-to-resolve-alleged-violations-of-the-controlled-substance-act-and-the-false-claims-act/
Texas Businessman Accused of $1.9 Million COVID Test Kit Fraud,2024-09-25,COVID-19,https://oig.hhs.gov/fraud/enforcement/behavioral-healthcare-company-executive-pleads-guilty-to-healthcare-fraud/
Over 100 Defendants Federally Charged With Fraud Related To The COVID-19 Pandemic,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/acadia-healthcare-company-inc-to-pay-1985m-to-settle-allegations-relating-to-medically-unnecessary-inpatient-behavioral-health-services/
Former Pharmacy Chief Financial Officer and Former Pharmacy President Admit Roles in $33 Million Pharmacy Compounded Medication Scheme,2024-09-25,COVID-19,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-arrest-of-little-rock-woman-on-felony-medicaid-fraud-charge/
Prineville Woman Sentenced to Federal Prison for Multi-Million Dollar Drug Treatment Fraud Scheme,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-businessman-accused-of-19-million-covid-test-kit-fraud/
"$2,125,640 Recouped in Civil Settlements for Violations of the False Claims Act from Local Pharmacies in Cidra and Florida, Puerto Rico",2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/over-100-defendants-federally-charged-with-fraud-related-to-the-covid-19-pandemic/
27 Individuals Indicted for Buying and Selling Wholesale Quantities of Misbranded and Diverted Prescription Drugs Resold to the Public Through Retail Pharmacies in Puerto Rico,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-pharmacy-chief-financial-officer-and-former-pharmacy-president-admit-roles-in-33-million-pharmacy-compounded-medication-scheme/
"Ra Medical Systems, Inc. & Physicians Pay Over $8 Million to Resolve False Claims Act Allegations of Illegal Kickbacks",2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prineville-woman-sentenced-to-federal-prison-for-multi-million-dollar-drug-treatment-fraud-scheme/
USAO NDWV Secures False Claims Act Settlement Relating to Use of Amniotic Fluid Injections for Pain Management,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/2125640-recouped-in-civil-settlements-for-violations-of-the-false-claims-act-from-local-pharmacies-in-cidra-and-florida-puerto-rico/
Virginia-Based Defense Contractor To Pay $2.25 Million Fine for Bribery Conspiracy,2024-09-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/27-individuals-indicted-for-buying-and-selling-wholesale-quantities-of-misbranded-and-diverted-prescription-drugs-resold-to-the-public-through-retail-pharmacies-in-puerto-rico/
"Big South Fork Medical Center Agreed to Pay $60,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examinations",2024-09-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ra-medical-systems-inc-physicians-pay-over-8-million-to-resolve-false-claims-act-allegations-of-illegal-kickbacks/
Seven People Charged With Over $40 Million In Medicare And Medicaid Fraud,2024-09-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/usao-ndwv-secures-false-claims-act-settlement-relating-to-use-of-amniotic-fluid-injections-for-pain-management/
"Digestive Health Partners Agreed to Pay $74,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Upcoded Drugs and Services",2024-09-24,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/virginia-based-defense-contractor-to-pay-225-million-fine-for-bribery-conspiracy/
Attorney General Alan Wilson announces Irmo woman charged with stealing from Charleston nursing home resident,2024-09-24,EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/big-south-fork-medical-center-agreed-to-pay-60000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examinations/
Home Health Care Companies Owner Convicted Of Medicaid Fraud,2024-09-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
"Hope Pharmacy Agreed to Pay $100,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Waived Copayments",2024-09-23,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/about/
"Michael G. Valpiani, MD AZ, and Dr. Michael G. Valpiani Agreed to Pay $296,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",2024-09-23,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Nine Individuals Indicted In $28 Million Illegal Opioid Distribution Conspiracy Three Doctors and A Clinic Owner Among Those Indicted,2024-09-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-care-companies-owner-convicted-of-medicaid-fraud/
Tallahassee Woman Arrested for Defrauding Medicaid Program,2024-09-20,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/hope-pharmacy-agreed-to-pay-100000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-waived-copayments/
"Medical Device Distributor To Pay $1,019,000 To Resolve False Claims Act Liability Arising From Billing Of “P-Stim” Devices",2024-09-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/michael-g-valpiani-md-az-and-dr-michael-g-valpiani-agreed-to-pay-296000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed/
Philadelphia Woman Sentenced To 20 Months In Prison For Conspiring To Defraud Medicaid,2024-09-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nine-individuals-indicted-in-28-million-illegal-opioid-distribution-conspiracy-three-doctors-and-a-clinic-owner-among-those-indicted/
"Maryland Man Sentenced For Selling Fraudulent Nursing Diplomas, Transcripts And Nursing Licenses",2024-09-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tallahassee-woman-arrested-for-defrauding-medicaid-program/
