Title,Date,Category,Link,Agency
Tennessee Business Owner Convicted of $35M Fraud Scheme,2024-10-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tennessee-business-owner-convicted-of-35m-fraud-scheme/,U.S. Department of Justice
Attorney General Griffin Announces Medicaid Fraud Arrest,2024-10-25,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-griffin-announces-medicaid-fraud-arrest/,State of Arkansas
Arizona Doctor Sentenced To Prison For Health Care Fraud,2024-10-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arizona-doctor-sentenced-to-prison-for-health-care-fraud/,"U.S. Attorney's Office, District of Arizona"
Pharmacy Owner Sentenced For Role In $6.9 Million Scheme To Bill Insurance For Medications Not Dispensed,2024-10-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-sentenced-for-role-in-69-million-scheme-to-bill-insurance-for-medications-not-dispensed/,"U.S. Attorney's Office, Eastern District of Michigan"
"Pine Belt Mental Healthcare Resources Agreed to Pay $43,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing Excluded Individuals",2024-10-24,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/pine-belt-mental-healthcare-resources-agreed-to-pay-43000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-excluded-individuals/,N/A
Attorney General Alan Wilson Announces Spartanburg Nurse Aide Charged With Stealing From Vulnerable Adult,2024-10-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-nurse-aide-charged-with-stealing-from-vulnerable-adult/,State of South Carolina
"Accura Healthcare Management Services and Accura Healthcare of Knoxville Agreed to Pay $60,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-10-23,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/accura-healthcare-management-services-and-accura-healthcare-of-knoxville-agreed-to-pay-60000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
"Coliseum Medical Center Agreed to Pay $100,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examination",2024-10-23,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/coliseum-medical-center-agreed-to-pay-100000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examination/,N/A
New York Doctor Charged with Health Care Fraud,2024-10-23,EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/new-york-doctor-charged-with-health-care-fraud/,"U.S. Attorney's Office, District of Massachusetts"
Former Eastern Kentucky Pharmacist Sentenced For Health Care Fraud,2024-10-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-eastern-kentucky-pharamacist-sentenced-for-healthcare-fraud/,"U.S. Attorney's Office, Eastern District of Kentucky"
"University of Texas Health Science Center at Houston Agreed to Pay $48,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims that Identified the Incorrect Rendering Provider or Did Not Meet Coverage Criteria",2024-10-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/university-of-texas-health-science-center-at-houston-agreed-to-pay-48000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-that-identified-the-incorrect-rendering-provider-or-did-not-meet-coverage-criteria/,N/A
"California Mobile Phlebotomy Lab And Its Owners To Pay $135,000 To Resolve Allegedly False Claims For Blood Testing Services And Travel Mileage",2024-10-22,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/california-mobile-phlebotomy-lab-and-its-owners-to-pay-135000-to-resolve-allegedly-false-claims-for-blood-testing-services-and-travel-mileage/,U.S. Department of Justice
"Southeastern Renal Dialysis Agreed to Pay $238,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-10-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/southeastern-renal-dialysis-agreed-to-pay-238000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
Stamford Woman Charged In Scheme To Defraud Medicaid,2024-10-22,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/stamford-woman-charged-in-scheme-to-defraud-medicaid/,State of Connecticut
Attorney General James Announces Convictions of Orange County Transportation Company Owners for Stealing More Than $2.1 Million from Medicaid,2024-10-22,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-convictions-of-orange-county-transportation-company-owners-for-stealing-more-than-21-million-from-medicaid/,State of New York
Waterford Woman Admits Theft from Addiction and Mental Health Services Nonprofit,2024-10-21,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/waterford-woman-admits-theft-from-addiction-and-mental-health-services-nonprofit/,"U.S. Attorney's Office, District of Connecticut"
New Rochelle Physician Pleads Guilty To Selling Thousands Of Oxycodone Pills For Cash,2024-10-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-rochelle-physician-pleads-guilty-to-selling-thousands-of-oxycodone-pills-for-cash/,"U.S. Attorney's Office, Southern District of New York"
Chattanooga Provider Settles Allegations Of Improper Billing For Electro-Acupuncture Devices,2024-10-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chattanooga-provider-settles-allegations-of-improper-billing-for-electro-acupuncture-devices/,"U.S. Attorney's Office, Eastern District of Tennessee"
Miami Man Sentenced to Over 5 Years in Prison and Ordered to Pay Over $3.8 Million for Fraudulently Billing Medicaid for Psychosocial Rehabilitation Services,2024-10-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/miami-man-sentenced-to-over-5-years-in-prison-and-ordered-to-pay-over-38-million-for-fraudulently-billing-medicaid-for-psychosocial-rehabilitation-services/,"U.S. Attorney's Office, Southern District of Florida"
"The Hospitals of Providence Agreed to Pay $726,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Free Marketing Services",2024-10-18,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/the-hospitals-of-providence-agreed-to-pay-726000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-free-marketing-services/,N/A
"Court Awards State $425,940.54 Against Komfort & Kare LLC Assisted Living Program For Housing Medicaid Recipients In Unlicensed Facilities",2024-10-18,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/court-awards-state-42594054-against-komfort-kare-llc-assisted-living-program-for-housing-medicaid-recipients-in-unlicensed-facilities/,State of Maryland
"Lourdes Counseling Center Agreed to Pay $124,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual",2024-10-17,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/lourdes-counseling-center-agreed-to-pay-124000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/,N/A
"Lourdes Hospital Agreed to Pay $85,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual",2024-10-17,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/lourdes-hospital-agreed-to-pay-85000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/,N/A
"Southern Immediate Care Agreed to Pay $68,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-10-17,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/southern-immediate-care-agreed-to-pay-68000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
Attorney General Bonta Announces Criminal Charges Against Southern California Dentist for Medi-Cal Fraud,2024-10-17,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-criminal-charges-against-southern-california-dentist-for-medi-cal-fraud/,State of California
Harrisburg Woman Pleads Guilty To Health Care Fraud And Bank Fraud Charges,2024-10-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/harrisburg-woman-pleads-guilty-to-health-care-fraud-and-bank-fraud-charges/,"U.S. Attorney's Office, Middle District of Pennsylvania"
"Dr. Hammad Malik Agreed to Pay $123,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Without Proper Supervision",2024-10-16,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/dr-hammad-malik-agreed-to-pay-123000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-without-proper-supervision/,N/A
"Dr. Van Stephen Monroe, Jr. Agreed to Pay $65,000 for Allegedly Violating Patient Dumping Statute by Failing to Accept an Appropriate Transfer",2024-10-15,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/dr-van-stephen-monroe-jr-agreed-to-pay-65000-for-allegedly-violating-patient-dumping-statute-by-failing-to-accept-an-appropriate-transfer/,N/A
North Carolina Woman Sentenced For Making False Statements,2024-10-15,EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/north-carolina-woman-sentenced-for-making-false-statements/,"U.S. Attorney's Office, District of South Dakota"
Houston Man Guilty In $160M Medicare Fraud Scheme,2024-10-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/houston-man-guilty-in-160m-medicare-fraud-scheme/,"U.S. Attorney's Office, Southern District of Texas"
Virginia Contractor Settles False Claims Act Liability For Failing To Secure Medicare Beneficiary Data,2024-10-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/virginia-contractor-settles-false-claims-act-liability-for-failing-to-secure-medicare-beneficiary-data/,U.S. Department of Justice
"Columbus Springs Dublin Agreed to Pay $103,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual",2024-10-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/columbus-springs-dublin-agreed-to-pay-103000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/,N/A
"Pain Specialists of Southern Oregon Agreed to Pay $25,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-10-15,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/pain-specialists-of-southern-oregon-agreed-to-pay-25000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
Precision Toxicology Agrees To Pay $27 Million To Resolve Allegations Of Unnecessary Drug Testing And Illegal Kickbacks To Physician,2024-10-15,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/precision-toxicology-agrees-to-pay-27-million-to-resolve-allegations-of-unnecessary-drug-testing-and-illegal-kickbacks-to-physician/,State of Maryland
Former Chief Executive Officer Of Chicago Hospital Added To Federal Indictment Alleging Corruption And Embezzlement,2024-10-11,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-chief-executive-officer-of-chicago-hospital-added-to-federal-indictment-alleging-corruption-and-embezzlement/,"U.S. Attorney's Office, Northern District of Illinois"
San Diego Physician And Medical Practice Pay $3.8 Million To Resolve False Claims Act Allegations,2024-10-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/san-diego-physician-and-medical-practice-pay-38-million-to-resolve-false-claims-act-allegations/,"U.S. Attorney's Office, Southern District of California"
Urine Drug Testing Laboratory And Owner Agree To Resolve False Claims Act Allegations,2024-10-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/urine-drug-testing-laboratory-and-owner-agree-to-resolve-false-claims-act-allegations/,"U.S. Attorney's Office, Western District of North Carolina"
"Refresh Mental Health Agreed to Pay $338,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Were Improperly Supervised",2024-10-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/refresh-mental-health-agreed-to-pay-338000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-were-improperly-supervised/,N/A
"Transitional Care Agreed to Pay $10,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services with False Dates and Locations",2024-10-11,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/transitional-care-agreed-to-pay-10000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-with-false-dates-and-locations/,N/A
Silver Spring Woman Sentenced for Defrauding Maryland Medicaid of over $1 Million,2024-10-11,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/silver-spring-woman-sentenced-for-defrauding-maryland-medicaid-of-over-1-million/,State of Maryland
"Ebenezer Quainoo, MD and Baltimore Healthcare Agreed to Pay $255,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-FDA Approved Drugs",2024-10-10,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/ebenezer-quainoo-md-and-baltimore-healthcare-agreed-to-pay-255000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-fda-approved-drugs/,N/A
"Housing Works Agreed to Pay $135,000 for Allegedly Violating the Civil Monetary Penalties Law by Providing Documents To HHS-OIG Auditors That One Of Its Employees Had Fabricated",2024-10-10,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/housing-works-agreed-to-pay-135000-for-allegedly-violating-the-civil-monetary-penalties-law-by-providing-documents-to-hhs-oig-auditors-that-one-of-its-employees-had-fabricated/,N/A
Magellan Diagnostics Sentenced For Concealing Malfunction In Lead Testing Devices,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/magellan-diagnostics-sentenced-for-concealing-malfunction-in-lead-testing-devices/,"U.S. Attorney's Office, District of Massachusetts"
Teva Pharmaceuticals Agrees To Pay $425 Million To Resolve Kickback Allegations,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/teva-pharmaceuticals-agrees-to-pay-425-million-to-resolve-kickback-allegations/,"U.S. Attorney's Office, District of Massachusetts"
Generic Pharmaceutical Company Pays $25 Million To Resolve False Claims Act Liability For Price-Fixing Of Generic Drugs,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/generic-pharmaceutical-company-pays-25-million-to-resolve-false-claims-act-liability-for-price-fixing-of-generic-drugs/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Drug Maker Teva Pharmaceuticals Agrees To Pay $450M In False Claims Act Settlement To Resolve Kickback Allegations Relating To Copayments And Price Fixing,2024-10-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drug-maker-teva-pharmaceuticals-agrees-to-pay-450m-in-false-claims-act-settlement-to-resolve-kickback-allegations-relating-to-copayments-and-price-fixing/,U.S. Department of Justice
"In Latest Welfare Fraud Win, Attorney General Todd Rokita Secures Six-Figure Settlement & Criminal Conviction Against Highland Home Health Provider",2024-10-10,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/in-latest-welfare-fraud-win-attorney-general-todd-rokita-secures-six-figure-settlement-criminal-conviction-against-highland-home-health-provider/,State of Indiana
TennCare Fraud Investigation Leads To Arrests Of Two Memphis Woman,2024-10-10,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/tenncare-fraud-investigation-leads-to-arrests-of-two-memphis-woman/,State of Tennessee
"Ultra Radio Dispatch Service Agreed to Pay $61,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Improper Remuneration",2024-10-09,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/ultra-radio-dispatch-service-agreed-to-pay-61000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-improper-remuneration/,N/A
Two Los Angeles-Area Residents Arrested On Indictment Alleging Scheme To Fraudulently Obtain And Launder Medicare Proceeds,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-los-angeles-area-residents-arrested-on-indictment-alleging-scheme-to-fraudulently-obtain-and-launder-medicare-proceeds/,"U.S. Attorney's Office, Central District of California"
Disabilities Day Program Employee Sentenced To 230 Days In Jail For Exploiting Vulnerable Adults And Shoplifting,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/disabilities-day-program-employee-sentenced-to-230-days-in-jail-for-exploiting-vulnerable-adults-and-shoplifting/,"U.S. Attorney's Office, District of Columbia"
Eight Charged In $68M Social Adult Day Care And Home Health Care Scheme,2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/eight-charged-in-68m-social-adult-day-care-and-home-health-care-scheme/,U.S. Department of Justice
"North Carolina Physician And Medical Practice Agree To Pay $625,000 To Settle Kickback Allegations",2024-10-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-carolina-physician-and-medical-practice-agree-to-pay-625000-to-settle-kickback-allegations/,U.S. Department of Justice
Lee Memorial Health System Agreed to Pay $1.7 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Medically Unnecessary Procedures,2024-10-09,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/lee-memorial-health-system-agreed-to-pay-17-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-medically-unnecessary-procedures/,N/A
"Attorney General Josh Stein Announces $625,000 Health Care Fraud Settlement",2024-10-09,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-announces-625000-health-care-fraud-settlement/,State of North Carolina
Attorney General Jackley Announces Wyoming Woman Sentenced On Grand Theft By Exploitation Charge,2024-10-09,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jackley-announces-wyoming-woman-sentenced-on-grand-theft-by-exploitation-charge/,State of South Dakota
"BrightStar Care of Chattanooga Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-10-08,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/brightstar-care-of-chattanooga-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
"Touchstone Strategies-Bulverde and The Heights of Bulverde Agreed to Pay $436,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-10-08,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/touchstone-strategies-bulverde-and-the-heights-of-bulverde-agreed-to-pay-436000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
North Carolina Physician Assistant Sentenced To Six Years In Prison For Role In $10 Million Telemedicine Fraud Scheme,2024-10-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-carolina-physician-assistant-sentenced-to-six-years-in-prison-for-role-in-10-million-telemedicine-fraud-scheme/,"U.S. Attorney’s Office, Western District of North Carolina"
Operator Of South Carolina Medicaid Call Center Agrees To Pay $11.3 Million To Resolve False Claims Act Liability; Two Former Employees Plead Guilty To Wire Fraud,2024-10-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/operator-of-south-carolina-medicaid-call-center-agrees-to-pay-113-million-to-resolve-false-claims-act-liability-two-former-employees-plead-guilty-to-wire-fraud/,"U.S. Attorney's Office, District of South Carolina"
Merrillville Doctor Sentenced To Prison And Ordered To Pay Restitution,2024-10-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/merrillville-doctor-sentenced-to-prison-and-ordered-to-pay-restitution/,"U.S. Attorney's Office, Northern District of Indiana"
"Ten Pharmaceutical Distributor Executives, Sales Representatives, And Brokers Charged In Connection With Unlawful Sales Of Nearly 70M Opioid Pills",2024-10-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ten-pharmaceutical-distributor-executives-sales-representatives-and-brokers-charged-in-connection-with-unlawful-sales-of-nearly-70m-opioid-pills/,U.S. Department of Justice
Wichita Brothers Plead Guilty To Defrauding The Government,2024-10-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wichita-brothers-plead-guilty-to-defrauding-the-government/,"U.S. Attorney's Office, District of Kansas"
Martin Handler Sentenced To 58 Months For Fraud On Federal Head Start Program And Tax Evasion,2024-10-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/martin-handler-sentenced-to-58-months-for-fraud-on-federal-head-start-program-and-tax-evasion/,"U.S. Attorney's Office, Southern District of New York"
Precision Toxicology Agrees to Pay $27M to Resolve Allegations of Unnecessary Drug Testing and Illegal Remuneration to Physicians,2024-10-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/precision-toxicology-agrees-to-pay-27m-to-resolve-allegations-of-unnecessary-drug-testing-and-illegal-remuneration-to-physicians/,"U.S. Department of Justice and U.S. Attorney's Office, District of Maryland"
Texas Hospital CEO to Pay Over $5.3M to Settle Kickback Allegations Involving Laboratory Testing,2024-10-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-hospital-ceo-to-pay-over-53m-to-settle-kickback-allegations-involving-laboratory-testing/,U.S. Department of Justice
